seed,f1_macro,accuracy,f1_negativo,recall_negativo,f1_neutro,recall_neutro,f1_positivo,recall_positivo
42,0.6403,0.6717,0.626,0.6417,0.529,0.4534,0.7658,0.8273
7,0.6562,0.666,0.6394,0.7167,0.5952,0.6211,0.7341,0.6707
123,0.3149,0.3415,0.3301,0.2833,0.4139,0.7391,0.2007,0.1124
2024,0.6683,0.683,0.6339,0.5917,0.6158,0.677,0.7552,0.7309
77,0.6526,0.6736,0.6044,0.5667,0.5988,0.6211,0.7545,0.759
2025,0.6502,0.6755,0.5689,0.5333,0.6195,0.6522,0.7621,0.759
99,0.6655,0.683,0.6286,0.55,0.6149,0.6646,0.753,0.759
